"","1i_01","1i_02","1i_03","1i_2i_01","1i_2i_02","1i_2i_03","2i_01","2i_02","2i_03","OA_01","OA_02","OA_03"
"PA 18:0_26:4",12362004,8125834,1305176,4978186,9685075,5197060,14999592,14016417,11432316,13114155,7999094,10692951
"PA 18:1_26:4",8733074,10318659,9207723,16017900,14559142,15138809,8806628,9139012,8252117,8459857,8349010,9365611
"PA 18:3_26:4",12873664,13484927,16471382,12565506,12134000,14527622,13819447,12649894,10033118,8947707,10437589,11052917
"PA 2:0_14:1",4970.6,4970.6,4970.6,24853,510794,2286973,202567,633392,635633,722066,483398,4970.6
"PA 2:0_16:1",657021,2264768,2532144,1222878,1554527,1453667,1114120,1611243,1322152,1323851,1352978,1069422
"PA 2:0_18:0",5427.6,5427.6,27138,5427.6,701921,753711,441054,409163,903274,2677117,1900687,2043783
"PA 2:0_18:1",11378138,11375787,11005266,10516919,10841705,12160819,8885159,12761537,10639608,9619118,13222921,11911976
"PA 2:0_20:1",3454506,2573908,4809860,3587006,7022218,7220375,4215746,4052636,4837836,7153748,4681222,5401555
"PA 2:0_22:1",30797352,31344490,40893212,34591564,32006834,34033568,32855932,35718652,36261528,27454128,37456808,34191212
"PA 2:0_22:2",924634,1804983,1498255,771351,563237,1333067,1026013,771908,729362,238735,704434,996021
"PA 2:0_22:4",132674848,212861088,225642784,144819120,156411232,200309536,130577744,198506624,155925968,149793008,163739552,165386768
"PA 2:0_22:5",3135462,6208970,7518474,4889094,4788236,5155459,4804140,6363162,7954062,4300120,7043516,4746100
"PA 2:0_24:1",31973026,26983660,41776832,35883420,39504440,37597984,34103072,36863488,37824548,34603476,36419424,36038936
"PA 2:0_24:4",564709,625727,1093670,531957,315690,458368,809080,949403,430379,763236,571787,1145481
"PA 2:0_26:1",5003721,8725772,5361606,4091923,4666578,4381362,4762865,5088263,5064751,7183830,8246879,5368889
"PA 2:0_26:4",1289526,2682776,2661544,1676836,3506346,1692450,3006486,3619298,2454327,2121594,2369612,2516208
"PA 20:1_26:2",707645,532502,1230712,1028022,1192273,1076090,852789,650337,222511,571846,907063,347923
"PA 22:1_26:4",5307273,6233413,8604914,6137804,7653674,8286332,3644671,7517846,6456236,6824006,8468038,8240944
"PA 22:2_26:4",2385324,739458,277488,1321472,3930593,3202287,2513898,2445672,1619454,1811552,2176386,1121639
"PA 22:3_26:4",10621259,12133520,13549300,13972988,13880775,12454172,9581481,9853265,8115119,7583960,7861260,7916228
"PA 22:4_26:4",8104531,8553362,10112013,14747555,19752626,19283762,12554725,16328218,21575676,41669060,28268316,16727790
"PA 24:1_26:4",404479,364324,1034198,2006300,2177498,2274940,59451,516168,789778,798548,1171499,1279613
"PA 24:4_26:4",2401465,2543702,3087750,10184187,11536573,9061801,2498857,3592983,2590168,3413109,2912094,2937166
"PA 26:4_20:5",3774687,3827288,5952552,5726478,10335205,5896888,5579588,5488580,4349740,6097044,6105318,6294993
"PA 26:4_22:5",5770005,5813345,9658629,12984519,14494817,14818442,5759018,6448828,5591292,5873272,7856078,4957142
"PA 26:4_26:4",10164331,10980215,17021152,61109372,118153680,189119120,31519100,84448544,101833480,194007408,134274624,81825760
"PA 4:0_22:3",1267179,1027897,1432526,1461008,2778104,2043858,2593625,2283771,2226653,3916772,2781860,3923968
"PA 8:0_26:4",356260,614033,1671588,429461,895351,1330520,692220,645182,1834962,942558,1354464,548519
"PC 14:1_44:12",5632671,5073662,6288566,11202280,8132020,15823450,8988961,3003172,4359844,9112041,5187500,6585174
"PC 16:1_20:4",7359824,7255130,12304290,13606159,19017464,11389236,10848808,11170232,8127673,11638499,11536696,12294481
"PC 16:3_20:5",28910296,32386280,24308298,31642420,29335250,30945394,31614780,29401168,29034532,30367476,17292324,26860254
"PC 16:3_22:6",49707888,55658540,45351160,48209044,49410920,49006340,52886956,51166024,49483744,48373076,40848044,48889384
"PC 16:4_24:6",21533054,19963322,18995936,15923559,16881098,14450076,19339798,20160054,18146676,18335958,16650233,18455994
"PC 16:4_26:7",2218278,2546750,2667846,1824384,1961815,1581159,1361794,1845098,1581862,1410934,2301074,2165875
"PC 18:0_20:3",133346480,162832768,215392832,147759552,187132896,154693104,166018592,184326240,165986128,175167008,191983568,207981584
"PC 18:1_18:1",19105834,8553720,12192062,41195124,25546140,12633902,20123816,26636490,31749480,14898989,13449044,7736126
"PC 18:2_22:5",46182240,58005812,70029192,107765032,125434704,115559808,55348136,51538828,51040792,49886408,54969284,55489804
"PC 18:4_44:12",2390526,2441388,1353810,1978046,2728842,1010950,517640,994688,1571122,917246,680561,932823
"PC 18:5_22:6",25179220,26435360,22463152,18608798,21135318,17577310,23091950,21950420,22327886,21702418,21556684,20123820
"PC 18:5_24:6",24313322,20959594,16628382,21338694,18330202,21153052,18934938,19458154,17317658,20110600,17517678,20412194
"PC 18:5_44:12",4254102,8055916,6702290,9363612,12537482,9380477,4967237,11323769,11529548,10499329,10339064,11873541
"PC 20:2_32:9",29688560,36774436,36104008,20550682,32536744,56827436,20365460,17418082,21958410,56860176,32497170,12967475
"PC 20:5_44:12",1047294,1125687,1812057,1114359,1857975,1406186,1654594,1992386,1972993,1428786,1762287,1836076
"PC 22:5_22:6",24498772,25876736,37638800,49049736,67682512,53564028,44183704,44893188,43336028,44126876,51269900,45934308
"PC 36:5",3721853,4820356,2581749,3593969,4705359,4536979,646842,1912692,4442035,968983,2629221,742447
"PC 40:3",216729072,226250640,282625248,250741360,384357984,388146336,235670000,236322192,177994944,241834496,269385152,220225024
"PC 40:7",149062480,168103856,188833472,478648992,442129664,426162432,159904240,186329792,179053072,131030640,154707248,156596288
"PC 42:4",43475568,49878024,58888272,77020872,109991056,101040648,42837048,42534328,33732008,41181812,45554756,41992320
"PC 46:11",4395664,4133609,5063728,10422802,69615696,246177040,57256220,70089664,67872600,377053824,384951392,216611136
"PC 48:4",400412064,455459520,541248000,420407936,517719072,484322720,501693984,478774400,428764320,446315712,520721152,468351008
"PC 48:5",37085672,50304492,50859160,53375224,60471632,57708104,51097440,48041352,49740284,46582348,67312376,47131976
"PC 48:7",134456960,147820608,164307024,122788040,104529224,101117216,79178344,89895328,86410144,66723408,81381384,79706096
"PC 50:5",63765272,91591024,56329392,122565424,230302128,168922080,136139392,178495056,235372736,469482208,287407232,120540720
"PC 54:10",6197068,3294928,8882812,5529008,17398720,19931894,13763182,17922974,10711032,23621366,17505658,13754646
"PC 54:6",33260194,27896870,26031686,47511164,61845196,88824944,52288172,84180544,104939808,110517624,64051024,45845360
"PC 60:13",18881672,22581100,20685128,16566195,35480336,9570789,7996130,7946862,12022173,6763817,7400834,8318226
"PC 62:14",9815484,10752488,10794198,7282152,12806732,7618204,8698871,11852552,8837658,7791600,11880083,10026469
"PC 8:0_16:4",4143483,3473542,5873602,7217072,7391582,6834760,4797910,4449468,4799694,4397208,5897168,5871188
"PC 8:0_18:1",22290410,15142630,16251898,20765636,20571202,24468344,51908552,61348980,63570676,52738460,58462284,63544656
"PC 8:0_18:2",318481,334914,1074710,504038,806982,1041401,129271,155084,408491,131084,78063,132021
"PC 8:0_24:0",1027875136,1080685952,1249649024,1073808256,1223885952,1125876864,1364917760,1295037952,1268218624,1339316864,1557760128,1320594048
"PC 8:0_24:1",28828452,16182067,18621466,77118520,74633664,78389488,57667736,131480880,161549056,115098176,135898208,116469624
"PC 8:0_24:2",164728480,176527808,242791360,131756040,196707696,179166320,182697344,173780720,171774768,176866944,192273648,193730448
"PC 8:0_26:0",37258620,39488276,47530324,42814628,50155516,46391728,35395376,45961204,38212900,36950848,38528652,38356512
"PC 8:0_26:1",15028588,19597440,16675676,31759402,29150640,30436118,18196590,17373620,15269274,18169522,8057026,14596919
"PC 8:0_26:3",22516410,27910808,31506726,27142242,34664804,33589164,23282522,22920584,20114178,20270356,23882838,23274628
"PC 8:0_26:4",11067669,12397899,21116018,9084535,2877329,4937222,9730932,1956084,1852896,1447919,7578301,2462336
"PC 8:0_26:5",27684918,30330816,42061224,19537100,23155802,21439934,28157470,10844374,12489632,7690804,23305710,9430505
"PC 8:0_26:7",2127850,2084720,3259375,2041076,1600446,1250730,1863483,33497,286021,6802,768476,17012
"PC 8:0_28:1",7892820,2654655,1231531,3079810,4446776,8296201,7996017,3255724,3377004,3872972,6313036,4831035
"PC 8:0_28:2",9404440576,6171929088,11199228928,10623551488,11196385280,10331012096,9902051328,4799211520,9612487680,4607999488,9612012544,9514095616
"PC 8:0_28:4",59707768,67008488,79523280,66577984,74672016,66828840,114301736,117876776,101732256,123029208,127981432,120995160
"PC 8:0_28:5",73144824,70786160,104340592,179826800,215307968,213567536,116522744,77183112,72980384,65933836,87292968,65467972
"PC 8:0_30:0",1696180,2049274,2110316,1575263,1840938,1791192,2226904,1716746,1887221,1781368,2088964,2051634
"PC 8:0_30:1",3312582,2841006,2526424,4961405,5288621,27739202,3227288,2681151,4835832,3800768,5566104,2476810
"PC 8:0_30:2",10122168,15307656,6419352,24899378,50532612,83580136,61330772,30394478,47116052,130154040,80002600,46036656
"PC 8:0_30:3",20873882,22210892,23789324,27408448,32407728,26041240,30112406,30498484,28076470,32629446,29386362,35556324
"PC 8:0_30:4",79732664,87938744,97472408,164532384,173174176,171222256,85444080,82463864,81152584,78507016,85552712,79960896
"PC 8:0_30:5",263447216,298549728,346174752,465587552,514998304,477737696,373545952,382340192,368363712,349264576,368841184,358771936
"PC 8:0_30:6",29459456,36294576,50761092,77906328,78231432,71874648,46716660,47556848,43371896,46871132,58681188,49496960
"PC 8:0_30:7",676708,733044,879620,833717,543779,182927,865616,440994,620975,181910,783253,536708
"PC 8:0_30:8",32734378,35669460,36294780,9883913,34768964,29015848,32224824,35220148,34231600,33101776,34029520,33777320
"PC 8:0_32:3",9101122,11060257,11638804,12029878,14446310,10091531,10322671,9979892,8302715,7430918,10766785,9102063
"PC 8:0_32:4",11869368,14993443,21603344,22498146,25823948,31040524,27796824,32946848,28039418,21942802,31578044,40215300
"PC 8:0_32:5",26016948,39998188,23931578,98753064,94671200,116578584,21583520,23095402,20210276,19368018,11271997,19695286
"PC 8:0_32:6",136552320,154571312,175380096,275768128,297968352,279902688,131599528,139225776,131326048,125173568,133718112,128959232
"PC 8:0_32:7",138939328,83866304,97863232,467824992,500679776,450819648,97739728,107455720,175577536,91180296,161624896,161414080
"PC 8:0_32:8",2873658,3056636,4095384,5013590,2602610,6662450,6274897,6021888,6009142,5157326,7220804,7202836
"PC 8:0_32:9",16707234,19511148,20338256,5586198,16477691,14007784,17550272,18547836,17962064,17454550,16988212,19042030
"PC 8:0_34:3",24158.2,295871,639132,1833191,1862339,1573841,120791,593420,614946,1279928,841446,587356
"PC 8:0_34:4",3162432,4437878,4873162,5301214,7907574,10227397,3214690,5844112,7388400,13824957,10295962,5156083
"PC 8:0_34:5",2057537,2467346,3130702,2057012,2466534,2780375,1679890,1782784,1314155,1525826,1400434,1513941
"PC 8:0_34:6",60763992,70215160,95856072,68537376,82827144,74151968,44774744,48547676,39273452,41849772,42472232,42744896
"PC 8:0_34:7",1279193,1595898,1794447,4662894,5121771,5190024,1119856,947305,1037205,1012664,1152188,1163459
"PC 8:0_34:8",1488782,1295004,4749668,1450029,4749152,2186412,2324096,4844181,5157792,2532350,1980211,5862831
"PC 8:0_36:5",6325704,5272622,4064957,4037703,4017874,5698782,9061553,5089064,8151562,5912344,3936954,4647559
"PC 8:0_36:6",8669670,11152617,13535894,6228631,8631127,8701967,6786945,7519052,5014354,5558934,5275088,6341340
"PC 8:0_38:10",51903,212860,10380.6,383446,2146858,2689330,759267,356942,803999,1575218,1960949,354178
"PC 8:0_40:11",210210,1119287,1098222,730515,1520596,2759866,712946,822341,534600,1500202,1249013,748230
"PC 8:0_40:6",22453206,28142282,34143032,22932514,29057092,28107074,21739252,25423708,19943840,18052022,18638810,18832658
"PC 8:0_40:7",33032582,36654576,43717876,20384418,41381456,37570568,26863996,30538516,25970452,27061506,26714818,25593092
"PC 8:0_42:10",671198,922134,1454451,1773772,2635075,1762537,486863,204416,357555,1194528,506848,689877
"PC 8:0_42:3",544224,84543,202563,780593,1935730,3270324,724704,1649304,2016453,3825111,3543641,3336969
"PC 8:0_42:7",57786776,66590108,105485912,57673072,79874296,75463384,50623900,78637512,55833392,46602092,69302792,78946328
"PC 8:0_42:8",27747108,27937712,25152922,35083148,58347368,26720804,90046904,58767048,105580584,179123920,117742672,94697920
"PC 8:0_44:11",1011120,327804,199111,1121339,6029206,4693803,3019683,2595679,1480200,3296727,1525592,4419068
"PE 10:0_44:11",207978,42926,134502,672370,1544961,2979640,673142,1503175,1875199,1903764,3097376,2725619
"PE 12:0_44:8",220240,214747,612641,436825,933194,891706,547840,1536601,983492,635062,557417,1313439
"PE 16:2_42:12",94219,18843.8,18843.8,18843.8,1735216,11684313,996609,1160463,18843.8,1380641,1438589,1921848
"PE 16:3_26:7",4312430,4887144,4912378,618907,4105732,3572775,3849870,3692419,3869523,3325600,4018010,3546989
"PE 16:3_32:9",7384734,7846279,7879526,7494050,7109366,5705123,7449424,7810084,7226824,6598602,6585894,7087916
"PE 16:4_26:7",8679022,9185329,8833467,3257552,9354286,7586306,8414825,9984641,9981924,7976196,9001243,8929427
"PE 16:4_34:9",3485860,4556868,3540178,6041728,5162174,4715174,3615298,3522540,3115191,2991521,3086261,2168119
"PE 18:1_20:1",341187584,409866112,467124896,401519104,729624768,680884224,649244608,313543168,651491520,301163936,285035456,291816512
"PE 18:1_20:2",32418108,35347564,43338132,39340792,41711032,37404500,41116676,41481804,35952524,36144212,39069016,38173564
"PE 18:4_44:12",6306733,2034812,2811706,12477785,39126484,160049264,30023702,10772688,13010004,49637260,35203752,30674672
"PE 18:5_26:7",2516998,2879078,3768873,4297060,5838767,5210277,5577124,4936954,5982416,4843912,5863510,4937646
"PE 18:5_36:10",481399,562264,298733,471966,504774,464252,141059,71581,941380,19037,110328,628865
"PE 18:5_42:12",6235932,7056314,8142888,8396342,7802083,7752974,4877156,5071607,4694504,6137834,5562866,4443114
"PE 18:5_44:12",773483,1397212,757987,1348286,1196714,1392061,805145,639667,1619242,1458587,1379904,851710
"PE 20:4_44:12",2620712,4266023,4091705,2661061,3225740,1594489,1090553,2329693,1766258,799906,874574,1265254
"PE 20:5_44:12",289538560,321820480,326026688,253821808,306557344,263156192,334647392,316376960,314269216,346833664,383633728,363959936
"PE 22:5_44:12",626745344,675208192,709124416,578631040,754587328,592305344,698536192,683206720,733219584,628236608,771489600,773633792
"PE 34:8",1760579,1483140,1683038,2547056,1796328,1439662,287932.4,287932.4,287932.4,287932.4,287932.4,287932.4
"PE 40:9",3206923,4256769,4671031,3265376,5233800,17424024,7885330,4538471,5130452,44969536,28713228,29174500
"PE 52:13",160046576,170571680,183635360,177140432,216647184,195761504,19814026,21938704,20139504,26825484,21164384,24467770
"PE 52:14",35755472,45668800,45946956,52232072,40987048,67695296,6198140,4834822,4468992,6708163,8318436,7129268
"PE 60:16",59756728,63558880,58740568,35479804,36591052,28662248,42073252,45011168,45365156,31893708,35070500,32933496
"PE 60:17",62646156,66659928,75287744,74484840,68444808,65639088,42734956,49937460,45221256,47561020,49453184,45696860
"PE 62:17",41277256,39750816,39841872,34041036,30963170,24973850,32400668,27876616,30114406,29377520,30080628,26740206
"PE 64:15",95302784,104792304,110707280,100301288,109620664,108038968,119134000,122353672,109947496,123057152,146277184,126557936
"PE 64:16",81580528,92480016,88078648,69987912,88382872,35584864,35805764,34892192,41423404,25316354,23865218,30652546
"PE 64:17",216485488,229252048,236689552,185133632,179201632,156543776,200766816,201936976,196432240,185613904,212268896,202880256
"PE 64:18",10077998,10120274,10755900,11491344,16809272,13642450,5749406,6211011,5559672,4985621,4538700,6688990
"PE 66:17",299304352,313138336,328113952,276429824,282259296,229966560,249938192,252898176,251604352,195532752,233608128,244371584
"PE 66:18",76917528,90958576,95795952,74873152,59222012,61864468,66125000,72262344,76339720,62506528,76320184,71726096
"PE 8:0_14:0",829779,1440622,1399991,877898,387580,1251567,1869158,1934380,2624448,1111294,1405820,688276
"PE 8:0_22:1",593552,578631,585254,606656,1012821,651524,457636,336201,399355,244568,638742,542485
"PE 8:0_24:2",1193027,1387874,2023868,1204901,1927634,1205874,1338440,984586,1066620,947728,1172809,902400
"PE 8:0_24:6",306873792,100441512,101829208,103560072,142823008,165192352,352653312,369415840,161726416,290477184,366629120,368377696
"PE 8:0_26:0",904439,1432308,1572775,1185984,940463,1493153,1805521,1368012,1648654,1278855,1784964,1368541
"PE 8:0_26:2",1412840,1778513,2704180,806628,1751161,2174890,870923,2597689,2005996,2009776,558106,1974961
"PE 8:0_28:1",684389,715207,1768443,792018,1455164,732765,992340,500330,1520754,642960,1410697,909480
"PE 8:0_30:5",7877961,13346138,7939016,9221902,10269030,11247863,14424786,12860493,11714959,13151193,7250604,11851939
"PE 8:0_30:8",8285688,8359244,5216154,5581522,5580960,6152478,9354860,8519549,5972575,3008497,1677436,7626696
"PE 8:0_32:3",1467384,1425837,1117676,1502849,2781942,1994085,2168478,1744275,1546142,2253531,1891133,2096807
"PE 8:0_32:4",4058728,5294431,5733110,9975925,10144959,10213970,5377981,5936840,4376522,5165512,5209814,4894098
"PE 8:0_32:5",28325828,30367686,37079248,23014676,29813234,23813512,38889364,35564992,32281812,35996040,38801260,37500972
"PE 8:0_32:6",1122714,671161,1628409,424720,6018386,1057906,1197864,534786,925950,533070,1630862,2176993
"PE 8:0_32:8",1964248,2005448,4973777,272295,4217290,1794551,2163432,3397950,2915595,2490032,1221726,3853409
"PE 8:0_32:9",7359943,6573876,5987529,4744486,1188941,4479568,5036064,8647062,5156245,5223116,2866224,6100430
"PE 8:0_34:5",984518,1125749,1793016,1764278,2668510,2793827,869966,374466,764204,1041484,1405386,1103042
"PE 8:0_34:6",6243484,6958712,7744150,12608289,13192187,12281362,6916531,6521861,5086848,5768024,6139260,6044600
"PE 8:0_34:8",11897682,12438640,7529608,10942824,13652486,9053866,9654124,11043119,12315068,10849602,10078276,13522915
"PE 8:0_36:1",48781036,55662268,69740384,66236812,83488560,82545664,78416840,81849448,68158696,65683520,67546016,67781120
"PE 8:0_42:9",1120440,1514468,1538713,1171929,1736544,5105934,941631,1678464,2114078,2676792,3923646,3267246
"PE 8:0_44:12",1030715,1002052,1249187,789919,1341955,1828972,930780,1397115,1351749,1381402,1737018,886687
"PE 8:0_44:9",9134,45670,136415,686483,1055244,3518404,314592,1145228,1809942,2092308,3118035,2461436
"PG 10:0_22:5",30393326,34378044,33743076,35734752,33181248,26413566,3029976,2953741,2178630,3037864,2778318,3358230
"PG 10:0_26:2",5045188,6113066,7121118,4565216,6241129,5704357,6476798,7196629,6633825,6726364,4923942,6237430
"PG 12:0_22:5",2488512,1699711,2610281,6219674,28584982,29702632,16984852,25327216,15536164,42017608,32178596,17376650
"PG 12:0_26:1",16619238,21204298,28120518,17430454,15660426,13711797,16455356,15657624,14104523,13319720,12666672,16424957
"PG 12:0_26:2",21656240,22908514,31547264,17326480,20790288,21641298,16053484,30829104,36115040,32164524,35741136,30764090
"PG 14:0_22:3",5292412,5975074,9409126,6709087,8977055,9528553,7080242,7345510,5308024,7373452,7908050,7298370
"PG 16:0_26:2",786376,481723,760509,4316299,10047770,17486986,2398880,11126575,13914008,18354960,27057462,21045200
"PG 16:1_26:2",547589,518306,499344,410414,1848247,237697,397910,366325,234469,301073,489740,457795
"PG 16:2_22:6",1642187,1774624,2361196,1725601,1042243,585410,1477082,2723810,2269202,1940654,2970330,1933952
"PG 16:3_16:4",852272,1454103,628596,1066718,1394801,1230724,1621360,1967658,2121486,1654281,982618,691489
"PG 16:4_16:4",668320,2698610,2639417,2932748,2505924,1326512,4257688,2035431,1709428,1416659,524068,2331464
"PG 16:4_26:4",41127068,41228404,46258516,19173076,40436768,41019040,40283684,45008364,43539508,25410750,43559600,35819916
"PG 18:0_26:4",2852247,2923051,1724656,5046711,11359886,22203250,3074984,13739450,15041161,18757228,29313186,22819034
"PG 2:0_14:0",37078,171018,333211,1503837,6998642,9443072,5059879,3580231,3238517,10963262,6118079,10584192
"PG 2:0_16:1",3693506,2774856,3734782,4663330,16028404,15111657,22066064,17299296,12072542,35020696,22633518,22584456
"PG 2:0_20:4",570621,859080,1041208,781378,1007008,675750,643082,839120,712803,670241,995434,661086
"PG 2:0_20:5",1822927,2026050,2404238,1386747,1084596,1333700,1411748,1363397,1740429,1902398,1295496,1347847
"PG 2:0_22:4",7839010,4108642,7300664,6970794,5233784,9548933,5883000,10235092,7052340,4042095,7493932,5271493
"PG 2:0_24:4",4886248,8070146,7522686,11240110,11024271,10553134,6980804,11771557,12417896,9723939,7215213,11113669
"PG 2:0_26:4",1279012,2413723,1116226,1305764,1785404,2525591,1507165,1726384,5208494,2356095,6802746,4910334
"PG 20:0_26:4",26731624,28835436,37665592,25613906,42734748,33189812,28947666,29202726,23625002,26116326,24424838,24229070
"PG 20:3_26:4",1197092,965053,1048523,1033025,1127877,1162856,660456,740583,444689,632970,757047,681704
"PG 20:4_22:6",11724207,13845884,14718719,21212584,14429092,28246320,8108530,7842755,5955442,7042046,8611764,7558633
"PG 20:4_26:4",4560597,7208665,3797836,6286125,2998134,2039401,5513276,2604553,4358471,1417826,3106711,4615522
"PG 22:1_26:4",82963856,106796440,107524376,90513296,110737744,109036976,101015000,99553936,88369736,86216248,102438552,82138744
"PG 22:2_26:4",8208162,10930618,8167077,11186755,28955298,34248564,12930547,21047676,26499058,37336784,41514512,37219284
"PG 22:4_26:4",872305,927056,1072997,1918821,592526,1755885,294307,823291,335176,506112,766679,518750
"PG 22:6_22:6",8959979,8175650,4552926,9388249,7751980,9817499,8903342,6476142,7894232,9260506,8613323,7329988
"PG 24:0_26:1",16097977,26284524,40202880,1892212,11784584,2715765,57830656,45363636,42518592,55137868,54065432,47619380
"PG 24:4_18:5",640622,572340,469075,1010774,872887,947152,747169,578939,643264,272271,626954,747477
"PG 24:4_26:4",26224806,36710904,34474364,34122648,29683184,21417524,9892242,7162809,3816022,5019348,5864513,2694276
"PG 26:4_20:5",15602087,5053692,4817642,7332164,2817008,3739268,11435861,12242858,13425710,11089324,12418666,15151866
"PG 26:4_22:6",1083456,1144166,1198686,2462454,1928614,2022328,1183767,1095268,1030867,1210533,1039917,1265605
"PG 4:0_26:2",7225246,6972083,10238571,4062669,6168522,13458057,5633634,7195614,5202052,6156746,4493570,6022796
"PG 8:0_22:3",10390936,12241701,12812627,14763658,14921662,14084309,887840,1233298,1039926,772949,1244115,897509
"PG 8:0_26:1",1988427,1970356,2658822,1212925,2481538,2146872,3181810,2091283,2891084,1383550,1515428,2658431
"PG 8:0_26:2",9719.8,9719.8,9719.8,9719.8,535448,850021,51000,89105,48599,87644,465696,636476
"PI 10:0_26:2",9258679,8996208,8517728,8077496,7990322,7587102,9288601,8511148,7871866,7996146,7445966,7723119
"PI 12:0_26:2",394553,349283,980482,46333,1655828,1520340,486983,876002,1229374,334939,659526,808990
"PI 14:0_22:5",1969605,2216097,1116880,1911769,1496807,1276292,1811673,1106360,2166095,2145138,1997698,2411909
"PI 14:0_22:6",778675,617138,769246,705952,479180,371736,639513,576479,904346,672170,664304,744700
"PI 14:0_26:4",2731088,2931833,2725011,2410294,1831175,1671060,2205530,1812967,2058338,1920758,2360860,1832066
"PI 14:1_26:2",2440009,3167389,3056358,1709547,1940756,1622046,2690028,1872587,2055602,3570338,2813669,2507723
"PI 16:0_22:6",177482,242919,56077,737720,182285,404284,483378,410023,320998,894424,463848,255277
"PI 16:3_22:6",1253065,1415298,1298581,953643,723965,926230,1043027,1470448,1106449,1042313,1430553,1101866
"PI 16:4_22:6",984784,2829030,1161812,2211242,504383,809780,2701559,2246394,2410742,2651788,3027846,3019536
"PI 18:0_26:4",439944,604748,646742,618913,980119,855423,12918,1127277,1031850,1039278,1267834,1424837
"PI 18:1_26:4",3978080,4315570,4613028,3047591,3571163,2491074,3389341,4256232,3430830,2200442,2306450,3001276
"PI 18:2_26:4",3040476,7633492,5772294,3371175,4522606,4092297,7715862,5700219,5790134,4678014,3159258,7524302
"PI 18:5_22:6",1005985,1424100,1650596,404822,1130099,786175,1094850,1348201,1458052,1218314,801286,1117169
"PI 2:0_24:2",233262,235208,336239,151806,540618,373035,3467.4,3467.4,3467.4,3467.4,18411,17337
"PI 2:0_26:2",284805,560092,865504,295976,372355,274894,54978.8,54978.8,54978.8,54978.8,54978.8,54978.8
"PI 2:0_26:4",829771,819573,952672,682611,711049,1168116,17864,18300,3572.8,3572.8,35341,51536
"PI 2:0_8:0",1223571,1304875,1851549,2032227,1025548,907307,2850549,2881572,2819720,2201035,2598951,2455209
"PI 20:1_26:4",2343648,2393048,3095444,1704996,2053964,2053613,3601326,3334827,2540570,2164703,2476765,2812895
"PI 20:2_26:4",15126142,15487460,18903724,12557807,12684435,12664802,17529154,18203476,17275322,15511847,15567343,16346421
"PI 20:5_22:6",330295,731547,209546,517848,1036982,383637,695873,389901,1110210,460163,881309,351002
"PI 22:4_22:6",1075272,1234585,2734348,2466990,1757314,1646113,1317170,1815182,1494586,1620690,1770766,1449014
"PI 24:4_26:4",549795,81029,146765,545818,1977119,1768078,1880331,5635156,1065297,2238143,3236981,1805946
"PI 26:4_26:4",6361266,5627412,3303162,8546600,15681485,13285263,14965116,14998480,22067096,28309342,21166960,15032548
"PI 36:0",10039168,17457294,19819292,14376518,59388772,55612480,43111600,62897152,56407776,107824488,111934432,29969108
"PI 36:3",7584456,7174628,15788525,5741748,17658466,8896764,10929416,16201834,14120940,10444598,9591762,18383634
"PI 36:5",1976078,1912560,2037416,1851837,3353161,1654938,136844,27368.8,27368.8,27368.8,27368.8,190882
"PI 42:0",71678936,65548660,52466796,118951632,314746016,248783600,190485008,278195936,267733760,516090112,418108736,174224464
"PI 44:0",3669154304,3948226816,3551886080,6219463168,14343626752,12469213184,9209412608,13442564096,13062660096,22273529856,19676334080,8921398272
"PI 44:2",9317932,3116220,413956.8,2069784,14937181,24941002,16600489,9153030,10526962,17951292,9937887,40718224
"PI 44:3",7905082,25388658,12979158,59938984,88501712,230100048,38673104,33931036,112534840,172486080,106881480,41517992
"PI 46:0",7748476,4292654,8865228,9910287,64305344,58384880,22506372,99989088,24380740,60257864,88770840,31675168
"PI 46:1",3530319,599516,840506,3846154,10232429,12801341,7249476,8373052,5564746,10315251,8702627,17441510
"PI 46:6",2390783,8996555,1886312,11162718,12537285,24167758,4078016,3801028,11921829,13170544,13030152,5256164
"PI 46:9",18273332,20278332,20963014,20530496,25504064,22747556,1715455,1346386,1555188,2887037,2144968,1848292
"PI 48:0",84821552,79824480,78390360,140454560,145000576,256174288,120707008,71615144,113180352,147502448,97286080,93605984
"PI 48:1",4962778,614689,1472279,9568741,25001778,23538574,21117378,38422856,14512366,24911012,19381014,18955184
"PI 52:0",2542544,4243802,4090014,13129827,21944724,10959744,8744341,18103108,18405120,26949142,24289446,9060502
"PI 6:0_22:3",934572,2225392,3003995,1290810,849058,514053,2715.2,105379,2715.2,13576,30523,2715.2
"PI 8:0_26:1",12658414,10524752,26837016,6900295,21219784,11302743,10808766,21505284,21112050,13329814,13755861,29854962
"PS 16:3_22:6",3230198,2985772,4551728,2176340,2569214,1872092,2486114,1007025,1071516,582237,2452486,923629
"PS 16:3_24:4",31193978,33833124,35601132,31749194,34037752,30569180,35657488,36928840,37059124,33642876,34563872,36805684
"PS 16:4_24:4",7530991,7875434,7755252,6046178,5967549,5123690,7795984,7125065,7239533,7551430,7684304,7831286
"PS 16:4_26:4",18507916,20303038,20484428,17796580,18723846,17010796,16254471,16370287,17580486,15101930,16626573,14468992
"PS 18:3_22:6",959077,1074824,1469726,772612,933723,879395,673655,850382,871575,864567,734033,1002567
"PS 2:0_20:2",957613,986605,1382721,423887,4142071,1392154,1890023,1722693,1417846,1933656,1788505,1765726
